"","V1","V2"
"1","",",\"baseMean\",\"log2FoldChange\",\"lfcSE\",\"stat\",\"pvalue\",\"padj\""
"208","CYB561",",4023.48009072803,-0.358001754335932,0.142241349031395,-2.51686135412646,0.011840541268821,0.0915735473692544"
"209","SPAG9",",2550.79172934178,0.0578332083805905,0.146050484832512,0.395980940747389,0.692119088548836,0.838845115627805"
"210","CELSR3",",881.584796639234,0.497679138836226,0.310967302503543,1.60042272878691,0.109504836249403,0.304512191864885"
"211","AASS",",98.5260653609563,0.103449165836708,0.319610647975554,0.323672463642766,0.746186020345281,0.872093244697132"
"212","PLEKHG6",",2207.66920448528,-0.119899795773608,0.212544744982543,-0.564115550273685,0.572675495815551,0.760679603269124"
"213","SS18L2",",581.822069157261,0.295017489332969,0.142094118872844,2.07621182124344,0.037874364435993,0.170683236176413"
"214","MPND",",927.611350285635,-0.185329144928992,0.165593181288334,-1.11918343187267,0.263061892163143,0.497416678166921"
"215","MGST1",",4078.45132441323,0.129428360784876,0.230833550806515,0.560699951686673,0.575002100144881,0.762187257065882"
"216","CRY1",",720.923925266308,-0.204239231938719,0.1364317635276,-1.49700646431504,0.134391576033801,0.342852438246748"
"217","PGLYRP1",",4.74111631341345,-0.580173209362198,0.440492773848239,-1.31710040165627,0.187804972420095,0.412363832485491"
"218","NFIX",",3778.49230028769,0.320097338590927,0.166179982324331,1.92620876542277,0.0540783117791901,0.207304931386858"
"219","ST3GAL1",",1075.30121804614,0.0556264402046212,0.340139970610611,0.16353985126994,0.870093398711088,0.939440737600442"
"220","MMP25",",119.251642152504,-0.834317513124031,0.352917007354939,-2.36406150946683,0.0180758111848589,0.114043712513337"
"221","IL32",",6340.16725996387,-0.103392383559944,0.234616241046373,-0.440687239292647,0.659439435967541,0.818931895200785"
"222","PKD1",",2147.45698342841,0.0393131856896192,0.216693774012487,0.181422774460302,0.856035744052024,0.931912941276113"
"223","MAPK8IP2",",156.595639168068,-0.996895512355176,0.472758076122471,-2.10868002622323,0.0349722100433361,0.164013032636539"
"224","MED24",",4113.26664890356,-0.196032132596632,0.205966430115768,-0.951767394747033,0.341214961298703,0.574565905170301"
"225","RHOBTB2",",568.779063997187,-0.0832315304144901,0.214873749938894,-0.387350853411176,0.698496482598731,0.843142523464506"
"226","HEATR5B",",1024.75244892179,-0.00132401914449217,0.130076335907901,-0.010178785674203,0.991878644302208,0.996591792601695"
"227","SEC62",",3631.53946874445,-0.0247643279150669,0.138239896149914,-0.179140238127865,0.857827587551324,0.932754844415995"
"228","RPS20",",28269.4858969875,0.234430549361896,0.186455627134653,1.25729940664433,0.208645238776496,0.436591471315751"
