"","V1","V2"
"1","",",\"baseMean\",\"log2FoldChange\",\"lfcSE\",\"stat\",\"pvalue\",\"padj\""
"23178","AC104806.2",",1.83708223622749,-0.605331127921687,0.479440330216365,-1.26257865634397,0.206740642356193,0.434356784542083"
"23179","AC017013.1",",1.12428296964375,-1.6725913330854,0.795964406450851,-2.10133935579277,0.0356111873295788,0.165625509448057"
"23180","AC025176.1",",5.87380106832519,1.05092164119728,0.348635048525991,3.01438895957397,0.00257497450192298,0.0399827522555277"
"23181","BX510359.5",",2.92894801970647,2.31939374103773,1.06820692892082,2.17129628936311,0.0299087826317057,0.150086478651401"
"23182","DNAH10OS",",16.2979321988982,-0.350513509320364,0.336281860406631,-1.04232059646787,0.2972630663612,0.533571335565851"
"23183","PANCR",",3.29170879965761,-0.341168802809394,0.744236026922527,-0.458414791098132,0.646654467144416,0.81034447090105"
"23184","AC018682.1",",5.24540903311166,-0.421031824088638,0.343429886224208,-1.22596151638873,0.220213157323823,0.449483766837517"
"23185","PCDHA10",",11.5459633357584,-0.576485336429301,0.489625771356985,-1.17739990448539,0.239035927983549,0.471607057373899"
"23186","AC090519.1",",2.39552007869922,-0.804588125226053,0.458689341322102,-1.75410251065994,0.0794129435642391,0.254561099989509"
"23187","AC078881.1",",11.248084154014,-0.581394268361072,0.494447994031606,-1.17584513513854,0.23965676642701,0.47228908248397"
"23188","AC004803.1",",49.6534351415187,-0.278576995816648,0.196808383597371,-1.41547321676377,0.156929795817945,0.37272525576143"
"23189","HOXC-AS2",",5.9271224781832,-2.52572288633508,0.854649136356479,-2.95527460204627,0.00312390866706426,0.0441218077952251"
"23190","AC093607.1",",1.03329809347106,0.0879648424700893,0.813292163145333,0.108158969748206,0.913869591361018,0.960064909663857"
"23191","AC139495.3",",8.33476930411974,-0.491099696707847,0.453921443199093,-1.08190459839644,0.279294921386784,0.514404074503671"
"23192","AC104619.3",",26.1634271943847,-0.859112147698757,0.361325288563888,-2.37766958164859,0.0174224297912978,0.111801335752198"
"23193","KRT8P31",",4.0082757158877,-0.363084659214536,0.404664867552601,-0.897247792748749,0.369586707799258,0.599907667218243"
"23194","ARPC4-TTLL3",",16.612633816544,0.0186386835862133,0.302405089979282,0.0616348209862814,0.950853646509006,0.97802296056207"
"23195","AC008957.1",",4.24010198788387,-0.431103572055699,0.46111616091222,-0.934913170691853,0.349833048957041,0.582464740325784"
"23196","AC106791.1",",5.1146961144391,-0.316326007694793,0.635810394884952,-0.497516256795442,0.618825041769695,0.793763010191204"
"23197","AC034206.1",",4.48625895539479,0.600754725198514,0.574133665110209,1.04636735608109,0.295391458268043,0.531508745992864"
"23198","EEF1A1P13",",225.853179113174,-0.300278725772811,0.293153516535917,-1.02430538552322,0.305691055001171,0.541923753641201"
"23199","FZD10-AS1",",116.80251280961,-0.413567302659859,0.530960020139973,-0.778904789386654,0.436035802456885,0.657645721674036"
"23200","CIR1P2",",2.83698329761432,0.0957111545877892,0.408016071746567,0.234576922860134,0.814537122704907,0.910100828631076"
"23201","AC053527.1",",5.20775121622345,0.240396716158043,0.276176343346395,0.870446444634558,0.38405647457036,0.612307714190548"
"23202","KRT8P32",",8.33144645368928,0.0307656983542013,0.325306497368708,0.0945744969837813,0.924652807477016,0.965603349876816"
"23203","AC008443.5",",25.4461478906792,0.534258730084152,0.273647215231831,1.95236311698452,0.0508951087369013,0.200669590984731"
"23204","AP002754.1",",6.21942168298139,0.314343612599647,0.592915800836609,0.530165686520929,0.595997059496665,0.776963060275981"
"23205","AC010273.2",",2.47715245372289,-0.634418226401973,0.507826084580533,-1.24928247221882,0.211561776477517,0.439573671148814"
"23206","AC008840.1",",3.90468385936127,0.619579729458848,0.284395379031881,2.17858578282101,0.0293624532870149,0.148775201756398"
"23207","PKD1P6",",144.336732227211,-0.00430854609697744,0.261106529213378,-0.0165011043958095,0.986834621028141,0.993953755189712"
"23208","AC108112.1",",1.26549606740869,0.938832321014711,0.825180170480866,1.13773010379977,0.25523319904201,0.48879075592609"
"23209","AC008496.2",",1.23517480098801,-0.606611195235811,0.586748011479698,-1.03385300566426,0.301204887385376,0.537530341502371"
"23210","AL669918.1",",1.23411055141556,0.251603275442242,0.418503588997939,0.601197413968846,0.547708506700076,0.743395687073911"
"23211","LINC01612",",39.5011780458535,0.535514384925421,0.596625104066463,0.897572665440116,0.36941341728252,0.599776321755962"
"23212","ALG1L14P",",1.05167221107795,-1.27175396406374,1.09166472713387,-1.16496753302883,0.244032135168846,0.477045468227167"
"23213","AC068647.2",",4.04831514265537,1.25080200022053,0.652016055786702,1.9183607353217,0.0550652861476821,0.209137713105475"
"23214","AC034199.1",",4.13641838367067,-1.38015902933906,0.513433334574739,-2.68809782380454,0.00718603412322997,0.0705821432724337"
"23215","AC002401.2",",6.11044289968718,0.728571460585369,0.408548284060259,1.78331788190281,0.0745345721454735,0.246169424221577"
"23216","AC109439.2",",2.14381699276774,-2.48540599983712,2.48453792675418,-1.00034939015162,0.317141453024866,0.552093282380718"
"23217","AC021491.2",",5.87968531395002,0.211631316854553,0.399236291187477,0.530090378870826,0.596049269416203,0.776963060275981"
"23218","NCAPGP1",",3.27199687135765,1.30816367279395,0.420889156818633,3.10809544888716,0.00188297243781393,0.0337915963932414"
"23219","RDH10-AS1",",10.0467345192745,-0.0054880227593974,0.33641251947642,-0.0163133725461191,0.986984389212395,0.994048642928928"
"23220","MRPS31P4",",36.6200638445706,0.164148472951386,0.215358827964097,0.762209167384362,0.44593517553946,0.666004116196205"
"23221","AP002884.1",",61.4247154750331,0.0632845052100254,0.246195978267659,0.257049305416451,0.797140711249438,0.901090609939623"
"23222","TRMT9B",",132.679458646387,-0.00827097858074909,0.375601794619795,-0.0220206045317793,0.982431519482622,0.991905487451758"
"23223","ZNF718",",115.650596697215,-0.245156213446289,0.304349455839213,-0.805508959331947,0.42052603836496,0.643772614211717"
"23224","SMIM20",",853.151701784338,-0.0193686607245353,0.143495429662156,-0.134977544372923,0.892629628829287,0.949778970187425"
"23225","AC003072.1",",120.345673764652,0.125775333391138,0.239146237018261,0.52593482113429,0.59893349411176,0.779000639990245"
"23226","AC113383.1",",5.14541474118541,-0.740263635922215,0.380075615738497,-1.94767463438522,0.0514539070876658,0.201695997960517"
"23227","AC079140.2",",11.0627687798142,-0.668658729174335,0.383053403578367,-1.7456018480137,0.0808801609173099,0.257341957863603"
"23228","AC104596.1",",6.20501546641393,-0.0279460541388433,0.263579896214257,-0.106024983468871,0.915562529964156,0.960803949663888"
"23229","RPSAP70",",8.71797126218605,-1.15596601522292,0.360841469920212,-3.20352872822109,0.00135754495200478,0.0285547508978173"
"23230","AC022101.1",",83.8573111782079,0.255624315125517,0.489250663885196,0.522481284124531,0.601335274214321,0.780652777064273"
"23231","KDELC1P1",",6.58096337920182,0.21992812027346,0.419381096749237,0.524411142939432,0.59999260791472,0.779713428970864"
"23232","LINC00989",",1.7885770028757,-0.722538456505114,0.589431245277739,-1.22582313423961,0.220265239443925,0.449490783297112"
"23233","PURPL",",40.2314387606906,-0.976691334755217,0.852587416915852,-1.14556151706801,0.251976627941878,0.48516516023385"
"23234","EEF1GP2",",1.48857782675665,-0.45360414226733,0.51296749595867,-0.884274629174317,0.376547980485076,0.605683300156232"
"23235","AC005740.2",",1.20997450862523,-2.52288811849545,0.983677176981165,-2.56475211332849,0.0103249539518387,0.0853444613145952"
"23236","KRT18P21",",2.75241654750169,-0.163250964714055,0.525587575435425,-0.310606590307636,0.756099716509069,0.878389347528698"
"23237","AL139353.2",",7.95929203381298,-0.0754320683320875,0.202797268943101,-0.371958008730637,0.709924113941039,0.849870180299468"
"23238","TUNAR",",1.37602485350764,-0.540164338810591,0.828557324302785,-0.651933575344505,0.514444024153079,0.71977408856495"
"23239","AC093720.1",",21.9526702019354,-0.00461987439531191,0.651747107712328,-0.0070884463323941,0.994344285474249,0.997694195495708"
"23240","AC114296.1",",7.90102799937605,1.0426346131698,0.518623067077104,2.01038997174955,0.0443899310242215,0.186508018327831"
"23241","UNC93B4",",1.02892267925076,-0.00702703612608179,0.582561147702831,-0.0120623150956616,0.990375898401773,0.995733339605269"
"23242","AC106772.2",",3.86171867213987,-0.104624787198483,0.743318084331753,-0.140753722267556,0.888064503275549,0.947519916837197"
"23243","AP006623.1",",13.2920942217222,-0.44682345818111,0.394149293319642,-1.13364013523361,0.25694553036448,0.490621029710478"
"23244","AC112722.1",",2.85436671233601,0.256028854054472,0.313788233696757,0.815928790694863,0.41454086442089,0.638495773227848"
"23245","KLHL2P1",",5.27159440638247,-0.166294791349072,0.336283819052152,-0.494507264184728,0.620947977420081,0.795139283547523"
"23246","AC005674.1",",1.90797737202544,0.0138949995186286,0.427999240506478,0.0324650097560589,0.974101219481776,0.98835842926279"
"23247","AACSP1",",1.88310007825004,-2.0129233618537,0.924449520305816,-2.1774291809766,0.0294485604068658,0.149082059797422"
"23248","AC106798.1",",2.32402343889465,-0.289869701122784,0.81672563375685,-0.354916864540439,0.722651873840729,0.857822051853896"
"23249","KIAA1210",",1.1387239306721,0.117927006088505,0.562594294772816,0.209612872338361,0.833969832160762,0.919774615588628"
"23250","AC109481.1",",1.05847346781175,-2.42144666338329,1.10504518212423,-2.19126484831014,0.0284326322502862,0.146480262899603"
"23251","EIF3KP3",",2.05452667530733,-2.74631594421831,1.26222865850809,-2.17576738232545,0.0295726588140424,0.149327843005533"
"23252","CCT5P1",",4.6836231420209,-1.20806170915403,0.52559864412076,-2.29844905931011,0.0215362440236383,0.126193861600921"
"23253","HOXC-AS1",",2.00658459873972,-2.17324618488871,0.93174978313752,-2.33243540725134,0.0196777972529248,0.119678738301333"
"23254","AC122718.1",",3.34035190923682,0.662010373704511,0.384400436125755,1.72218944488382,0.0850352062706989,0.264731390054304"
"23255","LRRC37BP1",",186.278286130437,-0.0563951575273981,0.159266297862293,-0.354093479187664,0.723268828777175,0.858170390912779"
"23256","AC253536.5",",30.5575543293756,-1.97435623089366,0.590468725633555,-3.34371008180872,0.000826660775530449,0.0217234144741625"
"23257","GMPSP1",",8.31945851712242,0.482015603311683,0.288649050481978,1.66990191898025,0.0949387706173063,0.281423450642831"
"23258","WBP1LP2",",17.7373114354673,0.120377667437385,0.221970570111547,0.542313638140819,0.587602462002236,0.770790732354472"
"23259","CHCHD10",",2208.99924154287,-0.567168032384666,0.266354894221178,-2.12936966689899,0.0332236880227474,0.15908552945582"
"23260","FAM218A",",4.18779068611226,-1.36166357193856,0.591816170383047,-2.30082184313625,0.0214017032632854,0.125780805885733"
"23261","LINC02145",",3.95630590452771,-0.340312135945326,0.515133788953813,-0.660628642971503,0.508850495497412,0.715406285647529"
"23262","INTS6P1",",2.41631125124263,0.156769363482556,0.349756715209265,0.448224027346433,0.653991523799734,0.815049875725618"
"23263","KRT18P51",",1.23355314820206,-0.0447588633985984,0.484408485572954,-0.0923990077210518,0.926381027781149,0.966250328298278"
"23264","CDK3",",17.7379476502094,-0.0758382383512615,0.291947217434626,-0.259766950401722,0.795043545749759,0.899898008726842"
"23265","AP000808.1",",16.8353304573841,-0.0434016233816357,0.338918497375849,-0.128059175635683,0.898102143100658,0.952933367356722"
"23266","AC034213.1",",2.43943688583506,-0.504855120028913,0.657580094161481,-0.767746962706777,0.442637529598727,0.663524253246216"
"23267","GPR162",",51.4313120169792,-0.754609097069649,0.276896398853302,-2.72523983769625,0.00642547930108196,0.0664595302522227"
"23268","AC098798.1",",1.46187161488684,-0.122317153409461,0.692033266317043,-0.176750395339266,0.859704454244743,0.933578057194061"
"23269","AP002784.1",",2.03926580794628,-0.91173179847725,0.682729940775699,-1.33542085094637,0.181738644174085,0.404634033038288"
"23270","AC004066.2",",7.25491513780264,-0.327119854150097,0.284942727741961,-1.14801966255595,0.250960446825717,0.483974530397426"
"23271","CCT6P2",",7.61724097961556,-1.94483770600197,0.58029788773734,-3.35144715688206,0.000803903798168167,0.0214270742076253"
"23272","STK19B",",2.55410758944785,1.15431479367353,0.920742449972544,1.25367826117711,0.209958972507308,0.438177858515466"
"23273","ABHD17AP3",",2.66711764049919,-1.03009100561403,0.607307478386879,-1.69616058137493,0.0898554732922198,0.272753844862891"
"23274","KRT8P33",",59.537306476318,-0.497030222800131,0.301851246277187,-1.6466064955177,0.0996389544764217,0.289218106925433"
"23275","AC092436.4",",1.10119058445876,-0.401441265910749,0.498201161854122,-0.805781472722247,0.420368862664499,0.643665987664934"
"23276","AC079160.1",",12.1006852432174,0.339376941106915,0.500869813642153,0.677575153988783,0.498041104034414,0.707750033078872"
"23277","LINC01303",",4.83193037702644,-1.3230567388246,0.463651401997725,-2.85355923248366,0.00432324676218788,0.0532288356627182"
"23278","AC109454.3",",1.56910545164515,-1.50033901836652,1.1292405991831,-1.32862652959155,0.183971214980244,0.407423691869282"
"23279","ATP6V1E2",",188.737027353525,0.202197107113274,0.164957379643295,1.22575363133499,0.220291401198951,0.449490783297112"
"23280","AC098591.2",",25.3737327477879,-2.65865163097488,0.6566348206474,-4.04890442507088,5.14579520519147e-05,0.00484368722862861"
"23281","NTAN1P2",",7.89947365255065,-0.0765323450347534,0.256363408759198,-0.298530688935565,0.765298156939778,0.882698929582304"
"23282","GLI4",",427.236314098304,0.0306052716917696,0.229132648714139,0.133570103883153,0.893742525952134,0.950381068739596"
"23283","LINC01511",",9.41689539046097,0.490416633745163,0.701363710399064,0.699232974951219,0.484406446194408,0.697438204961406"
"23284","AC096751.1",",2.80632592742849,-0.344141754785475,0.494802886863977,-0.695512827272733,0.48673397530089,0.699030288378776"
"23285","AC093535.1",",7.19735608495066,0.237923145656019,0.301801943191289,0.78834199389239,0.430496690403871,0.652703497589716"
"23286","AC068658.1",",3.25254232749656,0.79361483458029,0.549004557026736,1.4455523627678,0.148302796185496,0.361340016701971"
"23287","AC010210.1",",11.3795693935158,0.206891686268774,0.304437636726011,0.679586428582656,0.496766365280571,0.706897617228473"
"23288","AC012645.1",",20.9971631013924,0.0308655672351793,0.221558244233994,0.139311300926276,0.889204160114564,0.948285117759776"
"23289","LY6G6F-LY6G6D",",356.401984305414,0.319092866993899,0.730311618634727,0.436927003284466,0.662164287792222,0.820587126271144"
"23290","AC083906.3",",1.37030702571091,0.328276682359241,0.579600182317566,0.566384712038232,0.571132285074931,0.759688983645492"
"23291","AC068580.4",",11.466532068985,0.0982846103499029,0.340774577841496,0.288415324207717,0.77302883886318,0.887266708021382"
"23292","AC023794.4",",3.39619298318746,-1.35904524381493,0.541230987434666,-2.51102629998432,0.0120380728023874,0.0921971417327941"
"23293","ST3GAL1P1",",2.00988347372389,-1.07505324391375,0.468585807230454,-2.29425054563173,0.0217761114627781,0.127062117055466"
"23294","AC097652.1",",1.83743451467969,-2.26256578381443,1.16827963901921,-1.93666456920698,0.052786359466193,0.204485727558273"
"23295","AP001363.1",",1.2916876465085,-0.208640683111421,0.545448361652756,-0.382512255567552,0.702081440183236,0.84508821317068"
"23296","AC112206.4",",2.66555811367045,1.02767650818178,0.630207319616813,1.63069592528161,0.1029544968104,0.293748379334244"
"23297","LINC00491",",2.98800463544125,-4.49983262537978,1.93601894272019,-2.3242709697134,0.0201109756985829,0.121066099439043"
"23298","AC146944.2",",2.17730330338943,-0.489286615098744,0.423524031633404,-1.15527473898403,0.24797793706913,0.481222909836089"
"23299","AC010343.3",",4.01746051805353,-0.208787549350908,0.713554750271879,-0.292602003239914,0.769826382391495,0.885371179158603"
"23300","SELENOP",",2521.9478579527,-0.930180513080962,0.413761288574302,-2.24810908793833,0.0245692347268097,0.135642042982188"
"23301","TPM3P6",",15.5260364204467,-0.69986895435154,0.303674489783517,-2.30466824806543,0.0211851604816557,0.12503077420907"
"23302","AL391335.1",",1.12698898463585,-0.320942546394001,0.642166574819465,-0.499780834099359,0.617229407335395,0.792307145042416"
"23303","AC096759.2",",1.54791217306999,-3.04014700117183,1.59311296001154,-1.90830598801344,0.0563516795252089,0.2115099768368"
"23304","AC109361.2",",2.84174655048615,-0.45070854874225,0.443174051885223,-1.01700121391353,0.309152851935123,0.545442905826645"
"23305","LINC02381",",35.7347296079202,-0.985236075405867,0.329031249599705,-2.99435411257894,0.00275026544074045,0.0415838936864441"
"23306","AC105250.1",",4.11070678469586,-0.690744120761568,0.38304637435152,-1.80329110784815,0.0713425084056502,0.240728360735661"
"23307","AC025419.1",",1.23419265816523,0.429786230700495,0.56682994925494,0.758227809355205,0.448314615782487,0.668189829836193"
"23308","RPL23AP96",",1.22229970149262,-0.489915799660291,0.561641149432775,-0.872293278644341,0.383048403450819,0.611820702430067"
"23309","Z99943.2",",3.1655864496421,-0.584539645486183,0.436237300274734,-1.33995796580909,0.180259011054223,0.40275328809818"
"23310","AC025178.1",",6.57772576837361,0.0615524367222306,0.283687923718202,0.216972354393812,0.828229889727794,0.916242424469227"
"23311","AC139783.1",",2.09902875024384,0.679483241069576,0.544544353947975,1.24780146216426,0.212103773105394,0.440138442112988"
"23312","AC106865.1",",5.81579826385359,-1.88107944964495,0.64788083889432,-2.90343429951597,0.00369094404710793,0.0484052796829705"
"23313","SNHG18",",919.256532222939,0.311415890271061,0.278114237338732,1.1197409138453,0.262824184636311,0.49718016368854"
"23314","AC127070.2",",7.80589666579895,-0.437871805145844,0.438978519362912,-0.997478887534921,0.318532116648698,0.553161171446112"
"23315","ALG1L12P",",5.41602380222065,0.158977007398047,0.387372286080812,0.410398505805554,0.681513642188832,0.832854486976308"
"23316","AC112484.2",",1.3201040274646,0.277623439237732,0.432325459147004,0.64216305878792,0.520767315839976,0.724342927508961"
"23317","PRODH2",",1.28343665843523,-1.6820039236151,1.4739794860025,-1.14113116199248,0.253815345236267,0.487340605967263"
"23318","ZBED3-AS1",",19.8047036160275,0.200949631206275,0.200020148189169,1.0046469469477,0.315066882748532,0.550188607935497"
"23319","EXOC1L",",1.36606234991796,0.935041479810009,0.70401400324603,1.3281575018377,0.184126080623605,0.407532610726727"
"23320","HNRNPA3P13",",1.14302177738848,0.326903918680011,0.529852018271138,0.616972111848646,0.537253120644018,0.736322674387885"
"23321","AC108865.1",",80.9847613847931,0.680232598693237,0.949033228736166,0.716763731865434,0.473519893793798,0.688936502837207"
"23322","AC137770.1",",2.36033073400328,0.345184557574395,0.44612046700599,0.773747413766963,0.439080175394999,0.6602962782537"
"23323","AC021087.2",",5.29784334391382,0.0730130720765272,0.283935420624894,0.257146755117194,0.797065485370732,0.901068141295443"
"23324","RNF138P1",",1.11013121934833,-0.339533799754038,0.484820615310179,-0.700328717533619,0.483722041380819,0.697106339761572"
"23325","HNRNPKP1",",33.9478937060418,-0.0190841677624099,0.233002534090832,-0.0819054086122955,0.934721933442428,0.969612016276219"
"23326","AC010595.1",",3.8104755868985,0.469865814490548,1.53553765888842,0.305994328286734,0.759608964167869,0.879661694449603"
"23327","METTL21EP",",4.76317103524969,0.397519387549234,0.363853635038145,1.09252553573516,0.274602172743372,0.509596247815542"
"23328","OR7E85P",",2.38085121949039,0.638489529578643,0.678846636654667,0.940550479450112,0.34693526937947,0.579911351828208"
"23329","AC108475.1",",3.09200314442788,-0.297058377950606,0.415555255311445,-0.714846880538114,0.474703663320128,0.689764609883544"
"23330","AC098869.2",",8.7400493527609,-0.101152046719993,0.313166482260156,-0.322997678391274,0.74669700028913,0.872417155893366"
"23331","RNPS1P1",",23.7229012719733,-1.02808978997923,0.433265431201657,-2.37288672472169,0.0176496758182481,0.112744645441436"
"23332","AC125807.2",",194.728788227227,0.0614582621747381,0.249730906274505,0.246097942347524,0.805606415875268,0.905721992627679"
"23333","AC008443.6",",3.26501196308054,0.144695234839895,0.439330865512932,0.329353674413381,0.741888378657164,0.868755463611636"
"23334","GMDS-DT",",161.28986363387,0.276441985545552,0.18660708174889,1.48141208230002,0.138496797034655,0.349029938476317"
"23335","AC131953.1",",2.11618383843242,0.409893613363748,0.401762391724871,1.02023888200179,0.307615181437131,0.543598803873151"
"23336","AC138956.1",",7.19206703201458,-0.192692112986214,0.297709415691325,-0.647248971077232,0.517470821719359,0.722132882724577"
"23337","AL035458.2",",11.6867311620155,0.0800881559970669,0.377690473988321,0.212047063701012,0.832070317549355,0.918506917836505"
"23338","AC105460.1",",33.2016267517548,-1.8172077098182,1.27885974202923,-1.42095935159765,0.155328576886569,0.370752975398155"
"23339","MESTP3",",1.97144174483087,-0.293652543610578,0.513779237411521,-0.571553932560671,0.567624212518765,0.756970637598718"
"23340","GAPDHP66",",1.07480148595715,-0.338797612499589,0.781039234846213,-0.433777968358143,0.664449681824129,0.821761537493773"
"23341","AC108866.1",",2.37251215131156,0.43722763310782,0.307246733706709,1.42305054909123,0.154721502131466,0.369942103588674"
"23342","ENPP7P11",",37.2688910817529,0.620491369982944,0.381451104153874,1.62666030646131,0.103809263452378,0.295037918334508"
"23343","AC093752.2",",1.12482639932074,-0.179776837483362,0.473759712181962,-0.379468394759394,0.704340069688502,0.846833260548434"
"23344","AC011416.2",",2.11481049762043,-0.332259657793454,0.474711964262406,-0.699918440668984,0.483978240343905,0.697239700985232"
"23345","GLUD1P3",",27.7330561432013,0.0409091651711801,0.185339044860265,0.220726103353037,0.825305705167741,0.915089883983535"
"23346","AC023886.2",",8.85121678637378,0.145726797348664,0.250034662052622,0.582826381559826,0.560010183380013,0.752372716306885"
"23347","AC110772.2",",14.1619813211625,-1.49217661531586,0.996525309975216,-1.49737954508448,0.134294527602647,0.342634809429505"
"23348","GAPDHP35",",68.4917110912143,-0.419771459026123,0.501059206295333,-0.83776817939296,0.402160913377311,0.627643763831093"
"23349","LINC02600",",18.0625269202519,-0.464636788445069,0.533444646650048,-0.871012187230517,0.383747498735154,0.612133166407468"
"23350","SNHG21",",35.6081124020764,0.0511281426924596,0.234920681812264,0.21764002342424,0.827709597709751,0.916014945241042"
"23351","AC098851.1",",8.23588684524948,0.959507554470097,0.354998936962674,2.70284627520161,0.00687485334818143,0.0688665364572379"
"23352","AL391280.1",",19.3055872660781,-0.668994687294724,0.347247686424473,-1.92656341121579,0.0540340621714771,0.207244207960529"
"23353","AC136604.3",",7.22706002424608,-0.000226199389270235,0.247300319624424,-0.000914674876335645,0.99927019513978,0.999888317086949"
"23354","AC008592.3",",11.8761748409193,0.474618956196241,0.253882391410935,1.86944416884754,0.0615610443779383,0.222263252979101"
"23355","AC244502.1",",9.0833991287764,-1.03691411341753,0.502025775214703,-2.06545991184232,0.0388795048538947,0.173180270437589"
"23356","ZFPM2-AS1",",9.64073475494023,-0.681319041007714,0.482639876153152,-1.41165095275202,0.158052761696974,0.374270902947786"
"23357","ORAOV1P1",",3.05250929279239,-0.699707120520429,0.546388242892673,-1.28060427657824,0.200332697123401,0.426943332023141"
"23358","AC133961.1",",1.27839962327423,0.312454235614833,0.490816577751655,0.636600819487662,0.524384891275413,0.726983614947574"
"23359","GAPDHP62",",3.83140802905344,0.222394979559513,0.307321382504106,0.723656055909295,0.469276917903267,0.685435017355609"
"23360","SLC25A30-AS1",",4.66791339727294,-0.234265131079256,0.364356503147667,-0.642955811287695,0.520252773222363,0.723972336431329"
"23361","AC093677.1",",1.22328461143587,-2.77104930182425,1.00924404783047,-2.74566821353175,0.00603878007861725,0.0646723794081377"
"23362","HMMR-AS1",",1.15979838610068,0.200608246072478,0.474322733251744,0.422936182495824,0.672341823076799,0.826303937892473"
"23363","THAP9-AS1",",973.475716643429,0.527731938334487,0.194177778761586,2.71777719211858,0.00657220788035888,0.0671844873297611"
"23364","AC114980.1",",14.0331306927772,0.665727440490775,0.229642281767243,2.89897590011552,0.00374383669650618,0.0488336780706452"
"23365","LINC02163",",23.1291879185852,0.0578620266393223,0.426258770119646,0.135743897123996,0.89202374398914,0.949556867415844"
"23366","AC037459.2",",22.9979600995362,0.0122720225263955,0.241433532003676,0.0508298181472513,0.959461130136187,0.9818995495604"
"23367","IGKV2D-40",",33.6453302149413,-1.08944604053379,0.718929950593977,-1.51537161532037,0.129678321445476,0.335730052327123"
"23368","AC112184.1",",1.68067239216563,0.673118127245921,0.562095614571429,1.19751535111894,0.231105747772073,0.461800021912558"
"23369","LINC02512",",3.7115471599404,0.0366889406571444,0.850392655013455,0.0431435295693657,0.96558712000591,0.984444588356581"
"23370","AC025459.1",",1.68077180801766,-0.791970507947498,0.517571869673085,-1.53016528592972,0.125975821605373,0.330276233103755"
"23371","BMS1P2",",2.77084302745012,-0.117131902646227,0.384999605781077,-0.304239019696119,0.760945799482345,0.880505384262717"
"23372","ALG1L3P",",24.7532080755708,0.374056271849457,0.53000783086934,0.705756122953721,0.480339812579434,0.694412718281288"
"23373","AC097478.1",",88.2118316785367,-5.45803506249752,0.889635648722312,-6.13513528862777,8.50867531708066e-10,2.25711950684013e-06"
"23374","CTBP2P4",",2.95235564407636,0.0785108137632801,0.372875470479799,0.21055505116026,0.833234489890069,0.91933990301328"
"23375","PDCD5P2",",1.34247033940219,-1.8725918006084,0.821903689176471,-2.27835916211143,0.0227051874296275,0.129913338224008"
"23376","AC008549.3",",6.45314786156242,-2.87809156298629,0.749720234769723,-3.83888740027178,0.000123593090081219,0.00836660856893621"
"23377","AC025171.3",",1.71257935757956,-0.830899537609011,0.524963895282637,-1.58277463474257,0.113472840072804,0.310788199110608"
"23378","AF117829.1",",108.797117386636,0.291119815737575,0.203811770069725,1.42837587661391,0.153183698782727,0.367886144554189"
"23379","AC090502.1",",3.43764125231981,-1.8977891193749,0.986866362294413,-1.92304570495507,0.0544743101581717,0.208030410995347"
"23380","MRPS30-DT",",10.0361018612761,0.250861343143146,0.342205944971837,0.73307125965854,0.463514968202966,0.68127055781874"
"23381","AP002490.1",",18.1199316738215,0.428158454769285,0.276989330053039,1.54575793474536,0.122163039651032,0.324360099819574"
"23382","AC113346.1",",2.54991805843877,-0.0476628031965775,0.803674929490898,-0.0593060719547024,0.952708324909181,0.978883099690039"
"23383","HOXC-AS3",",1.45768915758828,0.474463936210011,1.19538646552505,0.396912588433574,0.691431920879646,0.838708989494017"
"23384","AC025539.1",",3.09940744824586,0.0484406757215943,0.422050470884671,0.114774604136933,0.908623778969417,0.957787683863817"
"23385","AC020661.1",",11.5056644656915,-0.176463836353576,0.254097003678606,-0.694474290522434,0.487384818421644,0.69955355581971"
"23386","F11-AS1",",3.4779274103965,-0.867471884222705,0.878611546649408,-0.987321288379165,0.323485157620146,0.557845097769391"
"23387","LINC01843",",213.764180047509,-0.0954342273373084,0.255052326702797,-0.374175090151263,0.708274055342677,0.848899817421456"
"23388","AC008243.1",",1.39728325599937,0.41936466476388,0.415186119997962,1.0100642689258,0.312464499658418,0.547807324163839"
"23389","TMEM92-AS1",",13.509836427129,0.0085660115283761,0.348117864784206,0.0246066415858493,0.980368721685444,0.991170372766311"
"23390","AC025244.1",",1.30716944157347,0.438614154666582,0.704396476194965,0.622680790562588,0.533494308476375,0.733755840938"
"23391","AC079140.3",",1.7690450325745,0.704847950222155,0.422707621075111,1.66745976433888,0.0954230186276398,0.282168999144156"
"23392","LINC00589",",10.7205769725569,-1.154822076077,0.483649689918745,-2.38772421475347,0.0169530581308598,0.110175999166702"
"23393","ZNF674",",96.424936005824,0.266361536219485,0.148791864950038,1.79016195750302,0.0734278788477079,0.243895902649529"
"23394","AL133330.1",",9.63823820452299,0.322164941571618,0.304788207013901,1.05701248984651,0.290505887276616,0.526323220584357"
"23395","TMED7-TICAM2",",9.26282225373476,0.0806886894421154,0.320661315178806,0.251632129049062,0.801325422133783,0.903146961656319"
"23396","LINC00923",",19.7309745338629,-0.303511607821974,0.548452524792683,-0.553396318007109,0.579992059631327,0.765556986476778"
"23397","AC136632.2",",8.80343182365605,0.0743139129024638,0.303917690001118,0.244519866224932,0.806828217830786,0.906438512705805"
"23398","LINC01337",",1.54023540314199,-0.559144718208753,0.501571015498312,-1.11478674191977,0.264941819224694,0.49896087080191"
